step,episode,ep_return_raw,ep_return_shaped,ep_len,loss,q_mean,epsilon,replay_size
47221,190,0.0,0.0,54,0.002836087252944708,0.1937738060951233,0.9575011,47221
47333,191,30.0,3.0,112,0.002751748077571392,0.29268795251846313,0.9574003,47333
47387,192,10.0,1.0,54,0.0024153804406523705,0.1731814742088318,0.9573517,47387
47436,193,0.0,0.0,49,0.0015243886737152934,0.18745467066764832,0.9573076,47436
47517,194,10.0,1.0,81,0.0012153508141636848,0.17281202971935272,0.9572347,47517
47572,195,20.0,2.0,55,0.0019783214665949345,0.18368622660636902,0.9571852,47572
47822,196,60.0,6.0,250,0.0017156038666144013,0.16462987661361694,0.9569602,47822
47872,197,0.0,0.0,50,0.0020500796381384134,0.20948526263237,0.9569152,47872
47957,198,10.0,1.0,85,0.005177799612283707,0.3356505036354065,0.9568387,47957
48154,199,50.0,5.0,197,0.0008859726367518306,0.16501793265342712,0.9566614,48154
48322,200,40.0,4.0,168,0.001308525213971734,0.23819571733474731,0.9565102,48322
48499,201,30.0,3.0,177,0.0023032657336443663,0.2522962987422943,0.9563509,48499
48652,202,30.0,3.0,153,0.0013375633861869574,0.1704632043838501,0.9562132,48652
48809,203,40.0,4.0,157,0.002146358136087656,0.2195369452238083,0.9560719,48809
49126,204,50.0,5.0,317,0.0021206371020525694,0.2980775237083435,0.9557866,49126
49214,205,10.0,1.0,88,0.002014086116105318,0.14983610808849335,0.9557074,49214
49292,206,10.0,1.0,78,0.0018604622455313802,0.15192385017871857,0.9556372,49292
49600,207,70.0,7.0,308,0.0042482707649469376,0.24687184393405914,0.95536,49600
49913,208,50.0,5.0,313,0.0019063218496739864,0.2833060622215271,0.9550783,49913
50013,209,40.0,4.0,100,0.007857900112867355,0.2854521870613098,0.9549883,50000
50067,210,0.0,0.0,54,0.004352490417659283,0.328243225812912,0.9549397,50000
50150,211,20.0,2.0,83,0.017410267144441605,0.3434528708457947,0.954865,50000
50403,212,30.0,3.0,253,0.0027289350982755423,0.22242607176303864,0.9546373,50000
50452,213,10.0,1.0,49,0.005744226276874542,0.2639468014240265,0.9545932,50000
50606,214,30.0,3.0,154,0.009877287782728672,0.3803431987762451,0.9544546,50000
50871,215,30.0,3.0,265,0.009733254089951515,0.32955095171928406,0.9542161,50000
51022,216,20.0,2.0,151,0.005572985857725143,0.23405763506889343,0.9540802,50000
51074,217,0.0,0.0,52,0.004882593173533678,0.2987344264984131,0.9540334,50000
51182,218,10.0,1.0,108,0.003266206942498684,0.36831504106521606,0.9539362,50000
51232,219,0.0,0.0,50,0.004197740461677313,0.2170259654521942,0.9538912,50000
51317,220,20.0,2.0,85,0.006247516721487045,0.33487823605537415,0.9538147,50000
51365,221,10.0,1.0,48,0.002824613358825445,0.3556286096572876,0.9537715,50000
51506,222,20.0,2.0,141,0.0027964841574430466,0.2013462483882904,0.9536446,50000
51725,223,10.0,1.0,219,0.004291515331715345,0.2824040651321411,0.9534475,50000
52231,224,100.0,10.0,506,0.0019213996129110456,0.25720036029815674,0.9529921,50000
52284,225,0.0,0.0,53,0.0038726250641047955,0.2549700140953064,0.9529444,50000
52338,226,10.0,1.0,54,0.0036569295916706324,0.38713687658309937,0.9528958,50000
52389,227,0.0,0.0,51,0.0023882505483925343,0.2494344860315323,0.9528499,50000
52441,228,0.0,0.0,52,0.018853355199098587,0.22546927630901337,0.9528031,50000
52518,229,10.0,1.0,77,0.0018277650233358145,0.3112151026725769,0.9527338,50000
52737,230,50.0,5.0,219,0.0060686273500323296,0.23728463053703308,0.9525367,50000
52815,231,10.0,1.0,78,0.0013995913323014975,0.34610605239868164,0.9524665,50000
53074,232,50.0,5.0,259,0.0029747558292001486,0.32311177253723145,0.9522334,50000
53155,233,10.0,1.0,81,0.0025582402013242245,0.2811644673347473,0.9521605,50000
53283,234,30.0,3.0,128,0.003877079812809825,0.27671462297439575,0.9520453,50000
53545,235,60.0,6.0,262,0.002500609029084444,0.32338404655456543,0.9518095,50000
53601,236,0.0,0.0,56,0.006671486422419548,0.3198421001434326,0.9517591,50000
53831,237,50.0,5.0,230,0.0012747857253998518,0.24375012516975403,0.9515521,50000
54211,238,50.0,5.0,380,0.003675280837342143,0.25311732292175293,0.9512101,50000
54267,239,20.0,2.0,56,0.007067426107823849,0.45669639110565186,0.9511597,50000
54717,240,50.0,5.0,450,0.002060085767880082,0.23470014333724976,0.9507547,50000
54771,241,0.0,0.0,54,0.0042398348450660706,0.3593180179595947,0.9507061,50000
55013,242,60.0,6.0,242,0.0020435070618987083,0.2586987614631653,0.9504883,50000
55137,243,10.0,1.0,124,0.002906764391809702,0.33386334776878357,0.9503767,50000
55305,244,20.0,2.0,168,0.004530691541731358,0.2763531804084778,0.9502255,50000
56584,245,160.0,16.0,1279,0.0027501932345330715,0.25448569655418396,0.9490744,50000
56963,246,90.0,9.0,379,0.0027968070935457945,0.3009888827800751,0.9487333,50000
57252,247,80.0,8.0,289,0.004886477254331112,0.27131956815719604,0.9484732,50000
57355,248,30.0,3.0,103,0.002153103007003665,0.44461432099342346,0.9483805,50000
57570,249,60.0,6.0,215,0.002369445748627186,0.2585713863372803,0.948187,50000
58420,250,160.0,16.0,850,0.0017482662806287408,0.27816420793533325,0.947422,50000
58639,251,60.0,6.0,219,0.001882939599454403,0.2322278469800949,0.9472249,50000
59261,252,110.0,11.0,622,0.0024610876571387053,0.27272894978523254,0.9466651,50000
59690,253,80.0,8.0,429,0.0013439549366012216,0.35750797390937805,0.946279,50000
59987,254,80.0,8.0,297,0.004991221707314253,0.32983043789863586,0.9460117,50000
60618,255,120.0,12.0,631,0.005092582665383816,0.37677422165870667,0.9454438000000001,50000
60672,256,0.0,0.0,54,0.00324605917558074,0.2742866575717926,0.9453952,50000
61035,257,80.0,8.0,363,0.003273865906521678,0.34637773036956787,0.9450685,50000
61267,258,20.0,2.0,232,0.004765585996210575,0.3491535782814026,0.9448597,50000
61429,259,40.0,4.0,162,0.0023330231197178364,0.4150812029838562,0.9447139,50000
61681,260,50.0,5.0,252,0.006727814674377441,0.33869487047195435,0.9444871,50000
61732,261,10.0,1.0,51,0.00857779011130333,0.4627092480659485,0.9444412,50000
61922,262,30.0,3.0,190,0.0021308865398168564,0.27013567090034485,0.9442702000000001,50000
62032,263,0.0,0.0,110,0.00315726175904274,0.3506488502025604,0.9441712,50000
62346,264,60.0,6.0,314,0.0034102892968803644,0.3893396258354187,0.9438886,50000
62880,265,110.0,11.0,534,0.0045951418578624725,0.35835781693458557,0.943408,50000
62975,266,20.0,2.0,95,0.008493088185787201,0.4105166792869568,0.9433225,50000
63378,267,50.0,5.0,403,0.001815414521843195,0.2807059586048126,0.9429598,50000
63574,268,10.0,1.0,196,0.004948977380990982,0.3304494619369507,0.9427833999999999,50000
63676,269,10.0,1.0,102,0.0012222849763929844,0.29164624214172363,0.9426916,50000
63729,270,0.0,0.0,53,0.0028607691638171673,0.3509044647216797,0.9426439,50000
63779,271,0.0,0.0,50,0.004607490263879299,0.36941781640052795,0.9425989,50000
64028,272,70.0,7.0,249,0.002343348227441311,0.3041633665561676,0.9423748,50000
64081,273,0.0,0.0,53,0.00256605027243495,0.22789396345615387,0.9423271,50000
