step,episode,ep_return_raw,ep_return_shaped,ep_len,loss,q_mean,epsilon,replay_size,lr
100032,243,10.0,1.0,77,0.001474475604481995,0.22049705684185028,0.0,100032,6.108288e-05
100332,244,50.0,5.0,300,0.004840733949095011,0.2842884659767151,0.0,100332,6.107863e-05
100385,245,10.0,1.0,53,0.007469363510608673,0.33591821789741516,0.0,100385,6.107787916666667e-05
100497,246,20.0,2.0,112,0.0036296008620411158,0.16189047694206238,0.0,100497,6.10762925e-05
100658,247,20.0,2.0,161,0.0011399766663089395,0.16717973351478577,0.0,100658,6.107401166666666e-05
101019,248,50.0,5.0,361,0.002197056543081999,0.2487632930278778,0.0,101019,6.10688975e-05
101077,249,0.0,0.0,58,0.0007440597983077168,0.1553744524717331,0.0,101077,6.106807583333334e-05
101127,250,0.0,0.0,50,0.0008308386895805597,0.19638389348983765,0.0,101127,6.10673675e-05
101239,251,30.0,3.0,112,0.0026021432131528854,0.17218436300754547,0.0,101239,6.106578083333333e-05
101396,252,10.0,1.0,157,0.004915372468531132,0.2677984833717346,0.0,101396,6.106355666666667e-05
101504,253,20.0,2.0,108,0.0013613044284284115,0.18444080650806427,0.0,101504,6.106202666666667e-05
101559,254,10.0,1.0,55,0.0009533239062875509,0.21760785579681396,0.0,101559,6.10612475e-05
101606,255,0.0,0.0,47,0.0009819070110097528,0.21870163083076477,0.0,101606,6.106058166666667e-05
101662,256,0.0,0.0,56,0.0038423556834459305,0.313012957572937,0.0,101662,6.105978833333333e-05
101822,257,40.0,4.0,160,0.0016047495882958174,0.2450701743364334,0.0,101822,6.105752166666667e-05
101875,258,0.0,0.0,53,0.0026312493719160557,0.29746317863464355,0.0,101875,6.105677083333334e-05
101933,259,0.0,0.0,58,0.0009711639722809196,0.19358202815055847,0.0,101933,6.105594916666667e-05
102027,260,10.0,1.0,94,0.004142727702856064,0.17941081523895264,0.0,102027,6.10546175e-05
102109,261,20.0,2.0,82,0.005357807036489248,0.24919381737709045,0.0,102109,6.105345583333333e-05
102163,262,10.0,1.0,54,0.001976514933630824,0.2112611085176468,0.0,102163,6.105269083333334e-05
102243,263,10.0,1.0,80,0.0023405267857015133,0.28387174010276794,0.0,102243,6.10515575e-05
102414,264,10.0,1.0,171,0.0018490260699763894,0.24285832047462463,0.0,102414,6.104913500000001e-05
102704,265,60.0,6.0,290,0.004199812188744545,0.28225550055503845,0.0,102704,6.104502666666667e-05
102807,266,20.0,2.0,103,0.0026026724372059107,0.22478628158569336,0.0,102807,6.10435675e-05
102951,267,20.0,2.0,144,0.0024927137419581413,0.2319885641336441,0.0,102951,6.104152750000001e-05
103124,268,30.0,3.0,173,0.0022313634399324656,0.2215753197669983,0.0,103124,6.103907666666666e-05
103180,269,0.0,0.0,56,0.0027484470047056675,0.22833216190338135,0.0,103180,6.103828333333334e-05
103284,270,10.0,1.0,104,0.005331926513463259,0.25360772013664246,0.0,103284,6.103681e-05
103387,271,20.0,2.0,103,0.002642557956278324,0.25562000274658203,0.0,103387,6.103535083333333e-05
103937,272,90.0,9.0,550,0.001358970534056425,0.1948954463005066,0.0,103937,6.102755916666667e-05
104021,273,10.0,1.0,84,0.0022795882541686296,0.22116810083389282,0.0,104021,6.1026369166666666e-05
104111,274,20.0,2.0,90,0.001104378025047481,0.24401746690273285,0.0,104111,6.1025094166666665e-05
104349,275,50.0,5.0,238,0.003523967694491148,0.22417253255844116,0.0,104349,6.1021722500000004e-05
104840,276,60.0,6.0,491,0.0048285238444805145,0.3288649022579193,0.0,104840,6.101476666666667e-05
104994,277,40.0,4.0,154,0.0010818643495440483,0.23991850018501282,0.0,104994,6.1012585e-05
105108,278,0.0,0.0,114,0.005830869078636169,0.23074664175510406,0.0,105108,6.101097e-05
105162,279,10.0,1.0,54,0.003291381523013115,0.27143192291259766,0.0,105162,6.1010205e-05
105211,280,0.0,0.0,49,0.0011102897115051746,0.23451386392116547,0.0,105211,6.1009510833333334e-05
105321,281,20.0,2.0,110,0.004014917649328709,0.3999605178833008,0.0,105321,6.10079525e-05
105423,282,10.0,1.0,102,0.0030185142531991005,0.21816369891166687,0.0,105423,6.10065075e-05
105606,283,40.0,4.0,183,0.00247460650280118,0.28774523735046387,0.0,105606,6.1003915e-05
105657,284,0.0,0.0,51,0.001609810977242887,0.2350122183561325,0.0,105657,6.10031925e-05
105829,285,20.0,2.0,172,0.009488912299275398,0.26503634452819824,0.0,105829,6.100075583333333e-05
106556,286,190.0,18.0,727,0.0010826861253008246,0.18764275312423706,0.0,106556,6.099045666666667e-05
106658,287,40.0,4.0,102,0.002360612852498889,0.18030649423599243,0.0,106658,6.0989011666666665e-05
106713,288,0.0,0.0,55,0.00145065994001925,0.2984558641910553,0.0,106713,6.09882325e-05
107242,289,120.0,12.0,529,0.0024583684280514717,0.27866697311401367,0.0,107242,6.098073833333334e-05
