step,episode,ep_return_raw,ep_return_shaped,ep_len,loss,q_mean,epsilon,replay_size,lr
142729,152,175.0,1.7500000000000002,1314,3.095252031926066e-05,0.07868750393390656,0.85869829,142729,6.00022425e-05
143998,153,205.0,2.0500000000000003,1269,5.535169839276932e-05,0.08307474851608276,0.85744198,143998,5.9980035e-05
144446,154,60.0,0.6,448,6.745658174622804e-05,0.07753830403089523,0.85699846,144446,5.9972195e-05
144893,155,110.0,1.0999999999999999,447,0.000361523125320673,0.08553339540958405,0.8565559300000001,144893,5.99643725e-05
145865,156,175.0,1.7500000000000002,972,0.0004496649489738047,0.08079488575458527,0.85559365,145865,5.99473625e-05
147229,157,175.0,1.7500000000000002,1364,1.4765650121262297e-05,0.07395999133586884,0.85424329,147229,5.99234925e-05
147973,158,120.0,1.2,744,0.00019346529734320939,0.07902984321117401,0.85350673,147973,5.99104725e-05
148972,159,265.0,2.65,999,0.00012477189011406153,0.07724341750144958,0.85251772,148972,5.989299e-05
149849,160,235.0,2.35,877,1.9156639609718695e-05,0.08190552890300751,0.85164949,149849,5.9877642500000004e-05
150724,161,120.0,1.2,875,0.0004858715401496738,0.08318762481212616,0.8507832399999999,150000,5.986233e-05
151190,162,130.0,1.3,466,2.3372320356429555e-05,0.07591366767883301,0.8503219,150000,5.9854175e-05
151679,163,110.0,1.0999999999999999,489,0.00012245701509527862,0.08880069851875305,0.84983779,150000,5.98456175e-05
152383,164,110.0,1.0999999999999999,704,2.610059891594574e-05,0.08413475751876831,0.8491408300000001,150000,5.98332975e-05
153097,165,140.0,1.4000000000000001,714,3.2837240723893046e-05,0.08306220173835754,0.84843397,150000,5.98208025e-05
154206,166,250.0,2.5,1109,0.0001610147301107645,0.07583248615264893,0.84733606,150000,5.9801395e-05
155040,167,150.0,1.5000000000000002,834,3.724178532138467e-05,0.08133929967880249,0.8465104,150000,5.97868e-05
156399,168,160.0,1.6000000000000003,1359,7.449529221048579e-05,0.09060393273830414,0.84516499,150000,5.97630175e-05
157319,169,160.0,1.6000000000000003,920,2.1778767404612154e-05,0.078029103577137,0.84425419,150000,5.97469175e-05
158101,170,80.0,0.7999999999999999,782,2.6826333851204254e-05,0.08344520628452301,0.84348001,150000,5.97332325e-05
159211,171,295.0,2.9499999999999997,1110,2.2774662284064107e-05,0.08180928975343704,0.84238111,150000,5.97138075e-05
159704,172,110.0,1.0999999999999999,493,2.0739451429108158e-05,0.08071915805339813,0.84189304,150000,5.9705180000000004e-05
160032,173,50.0,0.5,328,0.0002486008161213249,0.08148913085460663,0.8415683199999999,150000,5.969944e-05
160763,174,140.0,1.4000000000000001,731,3.525850479491055e-05,0.07963666319847107,0.84084463,150000,5.96866475e-05
161336,175,120.0,1.2,573,1.2616034837265033e-05,0.07637428492307663,0.84027736,150000,5.967662e-05
161840,176,90.0,0.8999999999999999,504,0.0001242670841747895,0.08096741139888763,0.8397783999999999,150000,5.96678e-05
162671,177,190.0,1.9000000000000001,831,5.0899237976409495e-05,0.08108076453208923,0.83895571,150000,5.96532575e-05
163728,178,235.0,2.35,1057,9.815774683374912e-05,0.08442950993776321,0.83790928,150000,5.9634760000000004e-05
164551,179,90.0,0.8999999999999999,823,2.0349905753391795e-05,0.08048918843269348,0.83709451,150000,5.96203575e-05
165115,180,120.0,1.2,564,0.0001241723366547376,0.08154763281345367,0.8365361499999999,150000,5.9610487500000004e-05
166008,181,90.0,0.8999999999999999,893,6.720006058458239e-05,0.08159443736076355,0.83565208,150000,5.959486e-05
166981,182,190.0,1.9000000000000001,973,1.8405135051580146e-05,0.0813000425696373,0.8346888100000001,150000,5.95778325e-05
167783,183,140.0,1.4000000000000001,802,4.248318145982921e-05,0.08602537214756012,0.83389483,150000,5.9563797500000004e-05
168518,184,110.0,1.0999999999999999,735,2.763357406365685e-05,0.0809803307056427,0.83316718,150000,5.9550935e-05
